At frame 0, person 1 is located at coordinates [-21.95, 662.12] with a bounding box of width 112.44 and height 309.52.
 At frame 490, person 66 is located at coordinates [184.87, 650.99] with a bounding box of width 26.58 and height 72.30.
 At frame 490, person 68 is located at coordinates [781.86, 706.02] with a bounding box of width 20.06 and height 47.55.
 At frame 490, person 67 is located at coordinates [794.47, 706.83] with a bounding box of width 20.05 and height 52.89.
 At frame 491, person 38 is located at coordinates [1495.56, 723.93] with a bounding box of width 154.76 and height 388.10.
 At frame 491, person 56 is located at coordinates [752.62, 703.71] with a bounding box of width 16.73 and height 39.70.
 At frame 491, person 41 is located at coordinates [767.56, 704.66] with a bounding box of width 17.72 and height 42.82.
 At frame 491, person 64 is located at coordinates [797.51, 703.57] with a bounding box of width 25.79 and height 57.72.
 At frame 491, person 66 is located at coordinates [178.16, 652.30] with a bounding box of width 26.45 and height 71.11.
 At frame 491, person 68 is located at coordinates [780.57, 705.23] with a bounding box of width 19.57 and height 46.55.
 At frame 492, person 38 is located at coordinates [1526.46, 718.82] with a bounding box of width 170.44 and height 414.90.
 At frame 492, person 56 is located at coordinates [750.13, 703.65] with a bounding box of width 16.93 and height 40.46.
 At frame 492, person 41 is located at coordinates [765.14, 704.57] with a bounding box of width 17.89 and height 43.28.
 At frame 492, person 64 is located at coordinates [796.56, 703.11] with a bounding box of width 26.24 and height 59.06.
 At frame 492, person 66 is located at coordinates [173.50, 649.08] with a bounding box of width 25.96 and height 69.49.
 At frame 492, person 68 is located at coordinates [780.65, 705.02] with a bounding box of width 22.38 and height 53.36.
 At frame 493, person 38 is located at coordinates [1560.01, 717.52] with a bounding box of width 187.10 and height 455.33.
 At frame 493, person 56 is located at coordinates [747.75, 704.53] with a bounding box of width 17.03 and height 40.73.
 At frame 493, person 41 is located at coordinates [762.50, 704.28] with a bounding box of width 17.94 and height 43.46.
 At frame 493, person 64 is located at coordinates [795.70, 706.76] with a bounding box of width 24.60 and height 55.50.
 At frame 493, person 68 is located at coordinates [778.52, 705.23] with a bounding box of width 23.47 and height 56.18.
 At frame 494, person 38 is located at coordinates [1587.11, 715.65] with a bounding box of width 204.92 and height 499.11.
 At frame 494, person 56 is located at coordinates [745.27, 705.21] with a bounding box of width 17.35 and height 41.42.
 At frame 494, person 41 is located at coordinates [760.51, 704.81] with a bounding box of width 18.24 and height 44.11.
 At frame 494, person 64 is located at coordinates [794.01, 707.72] with a bounding box of width 23.84 and height 54.06.
 At frame 494, person 68 is located at coordinates [776.92, 705.64] with a bounding box of width 23.09 and height 55.46.
 At frame 495, person 38 is located at coordinates [1630.30, 714.10] with a bounding box of width 218.14 and height 530.60.
 

=====================================================

At frame 495, person 56 is located at coordinates [741.82, 704.63] with a bounding box of width 17.90 and height 42.84.
 At frame 495, person 41 is located at coordinates [758.14, 706.50] with a bounding box of width 18.16 and height 43.77.
 At frame 495, person 64 is located at coordinates [791.60, 708.11] with a bounding box of width 24.25 and height 55.32.
 At frame 495, person 68 is located at coordinates [775.88, 708.81] with a bounding box of width 22.62 and height 54.47.
 At frame 496, person 38 is located at coordinates [1672.60, 715.74] with a bounding box of width 234.20 and height 568.59.
 At frame 496, person 56 is located at coordinates [740.32, 707.31] with a bounding box of width 17.38 and height 41.65.
 At frame 496, person 41 is located at coordinates [755.83, 708.06] with a bounding box of width 18.08 and height 43.63.
 At frame 496, person 64 is located at coordinates [788.68, 710.32] with a bounding box of width 23.88 and height 54.60.
 At frame 496, person 68 is located at coordinates [774.36, 712.69] with a bounding box of width 21.21 and height 51.05.
 At frame 497, person 56 is located at coordinates [737.41, 709.59] with a bounding box of width 17.25 and height 41.17.
 At frame 497, person 41 is located at coordinates [753.70, 709.56] with a bounding box of width 18.32 and height 44.16.
 At frame 497, person 64 is located at coordinates [785.50, 713.57] with a bounding box of width 23.87 and height 54.33.
 At frame 497, person 68 is located at coordinates [772.06, 715.06] with a bounding box of width 21.18 and height 50.91.
 At frame 498, person 56 is located at coordinates [735.01, 710.16] with a bounding box of width 18.16 and height 43.33.
 At frame 498, person 41 is located at coordinates [749.62, 710.71] with a bounding box of width 18.63 and height 44.94.
 At frame 498, person 64 is located at coordinates [782.80, 715.09] with a bounding box of width 24.06 and height 54.81.
 At frame 498, person 68 is located at coordinates [768.37, 715.89] with a bounding box of width 21.61 and height 52.03.
 At frame 499, person 56 is located at coordinates [732.13, 710.94] with a bounding box of width 18.50 and height 44.13.
 At frame 499, person 41 is located at coordinates [748.17, 711.74] with a bounding box of width 18.66 and height 45.24.
 At frame 499, person 64 is located at coordinates [779.10, 718.01] with a bounding box of width 23.21 and height 53.23.
 At frame 499, person 68 is located at coordinates [765.69, 715.28] with a bounding box of width 22.10 and height 53.62.
 At frame 499, person 71 is located at coordinates [1081.03, 721.01] with a bounding box of width 19.26 and height 49.03.
 At frame 500, person 56 is located at coordinates [728.97, 712.99] with a bounding box of width 17.63 and height 42.12.
 At frame 500, person 41 is located at coordinates [745.47, 712.71] with a bounding box of width 18.41 and height 44.76.
 At frame 500, person 64 is located at coordinates [776.22, 720.30] with a bounding box of width 22.44 and height 51.44.
 At frame 500, person 68 is located at coordinates [761.48, 715.61] with a bounding box of width 22.39 and height 54.78.
 At frame 500, person 71 is located at coordinates [1080.10, 719.77] with a bounding box of width 19.74 and height 50.26.
 At frame 501, person 56 is located at coordinates [725.76, 713.79] with a bounding box of width 17.27 and height 41.31.
 At frame 501, person 41 is located at coordinates [741.89, 713.38] with a bounding box of width 18.28 and height 44.57.
 At frame 501, person 64 is located at coordinates [773.12, 720.82] with a bounding box of width 22.22 and height 51.38.
 At frame 501, person 68 is located at coordinates [757.82, 717.16] with a bounding box of width 22.05 and height 54.04.
 At frame 501, person 71 is located at coordinates [1079.11, 721.41] with a bounding box of width 19.90 and height 50.68.
 At frame 502, person 56 is located at coordinates [723.17, 714.67] with a bounding box of width 17.72 and height 42.19.
 At frame 502, person 41 is located at coordinates [738.61, 714.21] with a bounding box of width 18.70 and height 45.67.
 At frame 502, person 64 is located at coordinates [768.22, 721.88] with a bounding box of width 22.13 and height 51.37.
 At frame 502, person 68 is located at coordinates [753.72, 717.73] with a bounding box of width 22.17 and height 54.31.
 At frame 502, person 71 is located at coordinates [1078.41, 722.97] with a bounding box of width 19.43 and height 49.45.
 At frame 503, person 56 is located at coordinates [720.25, 715.57] with a bounding box of width 17.84 and height 42.52.
 At frame 503, person 41 is located at coordinates [735.66, 715.38] with a bounding box of width 18.35 and height 44.91.
 At frame 503, person 64 is located at coordinates [763.40, 722.84] with a bounding box of width 22.35 and height 51.97.
 At frame 503, person 68 is located at coordinates [749.13, 717.91] with a bounding box of width 22.62 and height 55.56.
 At frame 503, person 71 is located at coordinates [1077.86, 724.12] with a bounding box of width 19.99 and height 50.95.
 At frame 504, person 56 is located at coordinates [717.13, 717.36] with a bounding box of width 17.96 and height 42.64.
 At frame 504, person 41 is located at coordinates [733.11, 716.71] with a bounding box of width 19.47 and height 47.55.
 At frame 504, person 64 is located at coordinates [757.66, 724.35] with a bounding box of width 22.29 and height 51.61.
 At frame 504, person 68 is located at coordinates [745.29, 719.99] with a bounding box of width 22.51 and height 54.86.
 At frame 504, person 71 is located at coordinates [1075.80, 724.79] with a bounding box of width 20.24 and height 51.45.
 At frame 505, person 56 is located at coordinates [714.00, 717.73] with a bounding box of width 17.96 and height 42.68.
 At frame 505, person 41 is located at coordinates [730.61, 717.76] with a bounding box of width 20.19 and height 49.09.
 At frame 505, person 64 is located at coordinates [751.00, 725.19] with a bounding box of width 22.65 and height 51.48.
 

=====================================================

At frame 505, person 68 is located at coordinates [739.93, 719.59] with a bounding box of width 22.84 and height 55.15.
 At frame 505, person 71 is located at coordinates [1073.74, 724.08] with a bounding box of width 20.59 and height 52.23.
 At frame 506, person 56 is located at coordinates [710.24, 719.02] with a bounding box of width 17.44 and height 41.52.
 At frame 506, person 41 is located at coordinates [726.41, 718.73] with a bounding box of width 21.93 and height 53.70.
 At frame 506, person 64 is located at coordinates [749.52, 726.64] with a bounding box of width 22.19 and height 50.85.
 At frame 506, person 68 is located at coordinates [733.36, 721.17] with a bounding box of width 23.48 and height 56.41.
 At frame 506, person 71 is located at coordinates [1071.69, 726.19] with a bounding box of width 19.76 and height 50.09.
 At frame 507, person 56 is located at coordinates [706.55, 717.71] with a bounding box of width 17.82 and height 42.25.
 At frame 507, person 41 is located at coordinates [721.67, 717.97] with a bounding box of width 22.20 and height 54.33.
